,Time,Open,High,Low,Close,Volume
1093,2014-10-08T14:58:00+0530,224.9,225,224.75,224.92,8652
1094,2014-10-08T14:59:00+0530,224.9,224.93,224.69,224.69,9474
1095,2014-10-08T15:00:00+0530,224.8,224.8,224.69,224.69,7956
1096,2014-10-08T15:01:00+0530,224.69,224.69,224.17,224.17,22830
1097,2014-10-08T15:02:00+0530,224.25,224.25,224.13,224.22,13500
1098,2014-10-08T15:03:00+0530,224.2,224.33,224,224.2,18798
1099,2014-10-08T15:04:00+0530,224.15,224.4,224.15,224.35,13047
1100,2014-10-08T15:05:00+0530,224.2,224.37,224.17,224.17,21546
1101,2014-10-08T15:06:00+0530,224.2,224.2,223.8,223.97,25995
1102,2014-10-08T15:07:00+0530,223.99,224,223.83,223.83,16815
1103,2014-10-08T15:08:00+0530,223.87,224,223.73,223.99,16761
1104,2014-10-08T15:09:00+0530,223.99,223.99,223.8,223.93,7455
1105,2014-10-08T15:10:00+0530,223.97,224.43,223.87,224.19,15624
1106,2014-10-08T15:11:00+0530,224.07,224.39,224.07,224.29,12243
1107,2014-10-08T15:12:00+0530,224.29,224.32,224.1,224.22,9873
1108,2014-10-08T15:13:00+0530,224.22,224.27,224.07,224.07,10785
1109,2014-10-08T15:14:00+0530,224.07,224.25,223.93,224.19,12357
1110,2014-10-08T15:15:00+0530,224.19,225.25,224.07,225.17,64509
1111,2014-10-08T15:16:00+0530,225.1,225.95,224.95,225.4,131574
1112,2014-10-08T15:17:00+0530,225.33,225.53,225.2,225.4,53907
1113,2014-10-08T15:18:00+0530,225.4,225.52,225.33,225.5,33207
1114,2014-10-08T15:19:00+0530,225.49,226,225.33,225.33,31893
1115,2014-10-08T15:20:00+0530,225.33,225.63,225.1,225.62,45195
1116,2014-10-08T15:21:00+0530,225.43,225.5,224.95,225.12,31125
1117,2014-10-08T15:22:00+0530,225,225.1,224.52,225.07,30369
1118,2014-10-08T15:23:00+0530,225.03,225.15,224.73,225,20802
1119,2014-10-08T15:24:00+0530,225.1,225.1,224.7,224.7,8526
1120,2014-10-08T15:25:00+0530,224.7,224.9,224.7,224.83,13314
1121,2014-10-08T15:26:00+0530,224.83,224.95,224.73,224.83,14199
1122,2014-10-08T15:27:00+0530,224.92,225,224.83,224.9,19881
1123,2014-10-08T15:28:00+0530,225,225,224.85,224.92,57303
1124,2014-10-08T15:29:00+0530,225,225.45,224.87,224.92,58851
1125,2014-10-09T09:15:00+0530,225.97,226.73,225.72,226.59,71976
1126,2014-10-09T09:16:00+0530,226.43,226.43,225.03,225.22,56178
1127,2014-10-09T09:17:00+0530,225.13,225.43,225.02,225.22,45420
1128,2014-10-09T09:18:00+0530,225.33,225.97,225.33,225.93,23991
1129,2014-10-09T09:19:00+0530,225.82,226.6,225.67,226.33,49986
