Time,Title,Day,MeanVol-30,StddevVol-30,MeanVol+30
2016-02-15T10:46:00,['Bank of Baroda may fall another 20% after Q3 show'],Monday,155146.1,195642.47625815653,76478.66666666667
2016-02-15T14:29:00,['Bank of Baroda shares zoom over 24%'],Monday,111474.7,83926.64431678814,81722.73333333334
2016-02-17T10:09:00,"['We should get back to 14-15% return on equity over next 2 years: PS Jayakumar, Bank of Baroda']",Wednesday,40609.86666666667,26593.73933432871,151898.16666666666
2016-02-17T10:17:00,['Buy Bank of Baroda with a target of Rs 140: Mitesh Thacker'],Wednesday,43613.566666666666,28418.90412464132,162730.06666666668
2016-02-17T10:17:00,['Buy Bank of Baroda with a target of Rs 140: Mitesh Thacker'],Wednesday,43613.566666666666,28418.90412464132,162730.06666666668
2016-02-18T10:19:00,['Buy Bank of Baroda with a target of Rs 148: Dr CK Narayan'],Thursday,85779.63333333333,62193.368119376064,52349.76666666667
2016-03-30T10:03:00,"['Companies need warriors, not peacetime generals: Ravi Venkatesan, Bank of Baroda Chairman']",Wednesday,7638.633333333333,5026.508532990093,7217.333333333333
2016-04-01T11:09:00,['SBI and Bank of Baroda take lead in lowering lending rates based on new formula'],Friday,17036.133333333335,20073.079346450282,22930.2
2016-04-01T11:09:00,['SBI and Bank of Baroda take lead in lowering lending rates based on new formula'],Friday,17036.133333333335,20073.079346450282,22930.2
2016-04-01T14:40:00,['Buy Bank of Baroda with a target of Rs 164: Mandar Jamsandekar'],Friday,39670.666666666664,23264.93483096157,33307.933333333334
2016-05-06T13:19:00,['Buy Bank of Baroda with a target of Rs 165: Manav Chopra'],Friday,8975.4,6635.01007082883,18082.666666666668
2016-05-16T10:48:00,"['Will focus on recovery, upgrade in the next quarter: PS Jayakumar, MD, Bank of Baroda']",Monday,42159.566666666666,26183.05781312709,124266.46666666666
2016-05-16T10:48:00,"['Will focus on recovery, upgrade in the next quarter: PS Jayakumar, MD, Bank of Baroda']",Monday,42159.566666666666,26183.05781312709,124266.46666666666
2016-05-16T12:09:00,['Buy Bank of Baroda with a target at Rs 185: Citigroup'],Monday,53066.36666666667,45400.66484864389,63954.96666666667
2016-05-16T12:10:00,['Outperform on Bank of Baroda with a target at Rs 170: CLSA'],Monday,53518.53333333333,45292.02691698495,62677.76666666667
2016-05-16T12:11:00,['Neutral on Bank of Baroda with target at Rs 146: Credit Suisse'],Monday,63479.0,64988.699019137166,56168.5
2016-05-17T13:20:00,['Buy Bank of Baroda with a target at Rs 194: Motilal Oswal'],Tuesday,42852.5,23657.7422587899,22524.233333333334
2016-06-06T13:34:00,"['Buy Bank of Baroda, target Rs 147: Kunal Bothra']",Monday,15660.6,8115.586882043714,24380.9
2016-07-25T09:50:00,['RBI imposes Rs 5 crore penalty on Bank of Baroda'],Monday,20534.833333333332,8704.10333916647,32331.866666666665
2016-07-25T10:55:00,['Prime space to settle loan for Bank of Baroda'],Monday,12634.266666666666,9972.616369951378,17062.266666666666
2016-07-25T12:43:00,"['Bank of Baroda partners with CreditMantri for lending to first-time borrowers, SMEs']",Monday,11357.933333333332,8351.906372932004,53782.53333333333
2016-08-02T12:43:00,"['Sell Bank of Baroda, target Rs 132.0 :  IIFL']",Tuesday,13547.7,7583.00124906579,20912.833333333332
2016-08-12T13:25:00,"['Reduce Bank of Baroda, target Rs 123.0 :  Reliance Securities']",Friday,82071.83333333333,57826.10574995999,63876.9
2016-08-16T14:04:00,"['Buy Bank of Baroda, target Rs 175.0 :  CLSA']",Tuesday,17922.3,19114.600963922843,20168.3
2016-08-18T13:33:00,"['Buy Bank of Baroda, target Rs 158.0 :  Reliance Securities']",Thursday,7373.433333333333,11286.418524590616,7927.033333333334
2016-08-18T13:33:00,"['Buy Bank of Baroda, target Rs 158.0 :  Reliance Securities']",Thursday,7373.433333333333,11286.418524590616,7927.033333333334
2016-08-24T12:22:00,"['Buy Bank of Baroda, target Rs 175.0 :  Tejas Shah']",Wednesday,10160.366666666667,8448.049812366296,16373.333333333334
2016-08-26T11:17:00,['Bank of Baroda shares fall over 1% on business setback'],Friday,9946.2,9204.710502056363,5181.5
2016-09-06T13:48:00,"['Buy Bank of Baroda, target Rs 172.0 :  Microsec Capital Ltd']",Tuesday,21155.8,16576.98304959822,9088.933333333332
2016-09-07T13:16:00,"['Buy Bank of Baroda, target Rs 182.0 :  Chandan Taparia']",Wednesday,24245.266666666666,19277.43691803682,36418.36666666667
2016-09-19T14:02:00,"['Buy Bank of Baroda, target Rs 190.0 :  CapitalVia Global Research Ltd']",Monday,5678.5,6738.098647491986,6207.7
2016-10-05T11:50:00,"['Buy  Bank of Baroda, target Rs  181  :   Tejas Shah']",Wednesday,10249.166666666666,13142.678501947597,15212.8
2016-10-13T13:47:00,"['Buy  Bank of Baroda , target Rs  203  :   Motilal Oswal Securities']",Thursday,48334.3,29311.130039798874,28445.433333333334
