id,number_of_retweets,number_of_favorites,created_at,text
999900371563692032,1,5,2018-05-25 06:30:00,b'#4YearsOfModi | 4 down one more to go. How do you think the government has fared? Send in your views and we will fe\xe2\x80\xa6 https://t.co/unE7j7VQzh'
999897854381522944,1,2,2018-05-25 06:20:00,"b'Unlike the last Congress-JD(S) coalition, this time it\xe2\x80\x99s Congress playing second fiddle.\n(Via @TheQuint)\xe2\x80\xa6 https://t.co/67Tnvkup19'"
999896596249825280,2,3,2018-05-25 06:15:00,"b'Tata Motors is looking at monetising the non-bank lending subsidiary, says Group CFO PB Balaji. @sajeetkm reports.\xe2\x80\xa6 https://t.co/UrvCPLBRwG'"
999892824152682496,0,0,2018-05-25 06:00:01,"b'Academy award-winning actor, Morgan Freeman has been accused of sexual harassment by multiple women.\n(Via @TheQuint\xe2\x80\xa6 https://t.co/TXFq4Jk1w1'"
999889046049456128,6,14,2018-05-25 05:45:00,b'47% of Indians don\xe2\x80\x99t want BJP government back: CSDS survey\n(Via @TheQuint)\nhttps://t.co/6tnJ9F0sUn https://t.co/efXwgY93Do'
999887787816988672,0,2,2018-05-25 05:40:00,b'The next best thing to attending @Traderscarnival is tuning into BloombergQuint to watch our coverage of the best t\xe2\x80\xa6 https://t.co/yExXdiFEGK'
999886529785991168,0,0,2018-05-25 05:35:00,"b'#4YearsOfModi | The rupee has depreciated significantly, but the fall has been lower than that of peer currencies.\xe2\x80\xa6 https://t.co/bGqa0rZ5ct'"
999885271226290176,0,1,2018-05-25 05:30:00,b'Delta returns to Mumbai after U.S. pact on Persian Gulf Airlines.\nhttps://t.co/hH5Au0eeUn https://t.co/Dih1yPLbPE'
999883221130096640,6,4,2018-05-25 05:21:51,"b'Recovery higher in resolution cases vs liquidation, says IBBI Chairman, MS Sahoo. https://t.co/2ViAzxFFe9'"
999883006272618502,2,5,2018-05-25 05:21:00,"b'Petrol, diesel prices rise for 12 days in a row; opposition slams Narendra Modi\nhttps://t.co/Rpnmwf9SkP https://t.co/1ehIZVxZpI'"
999882754761351168,0,0,2018-05-25 05:20:00,b'Expert financial planners will help you meet your financial goals on Portfolio.\nSend us your income and contact inf\xe2\x80\xa6 https://t.co/3do9IaAttx'
999881496679792640,0,0,2018-05-25 05:15:00,"b'Telecom department clears Rs 4,000 crore Idea-ATC mobile tower sale deal.\nhttps://t.co/vTLGfEWfSb https://t.co/FkplYPVvI0'"
999881045309767682,2,8,2018-05-25 05:13:12,"b'At @Traderscarnival, Amol Panicker tells us how he made 150% on Godawari Power in two months.\xe2\x80\xa6 https://t.co/9CwaTIigkm'"
999879746665168896,7,13,2018-05-25 05:08:03,"b'Expert trader JC Parets (@allstarcharts) studies 6,000 charts a week. Watch him talk about it at @Traderscarnival.\xe2\x80\xa6 https://t.co/agEA7j72ww'"
999878980936314880,1,0,2018-05-25 05:05:00,b'Half of India\xe2\x80\x99s 22 state-run banks are under the regulator\xe2\x80\x99s strict Prompt Corrective Action program.\xe2\x80\xa6 https://t.co/yb2qjTZ4LU'
999877722728902656,3,1,2018-05-25 05:00:00,b'#SterliteProtests | Section 144 extended till 27 May in Tuticorin.\n(via @TheQuint)\nhttps://t.co/KEud5M613p https://t.co/QS7Me34ZdV'
999876174011514880,2,2,2018-05-25 04:53:51,"b'It\xe2\x80\x99s complicated: A history of Congress-JD(S) breakups, patch-ups. (Via @TheQuint)\nhttps://t.co/R8dMz0rmID https://t.co/l9EXHOxlB4'"
999875668333674503,0,1,2018-05-25 04:51:50,"b""Haitong Securities' Santosh Singh talks about which two insurance company stocks will make money for investors over\xe2\x80\xa6 https://t.co/EhiaSb3GWq"""
